Date,Day_of_Week,Lecture_Number,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled,Students_Present,Attendance_Percentage,Previous_Lecture_Attendance,Gap_Since_Previous_Lecture,Practical_Theory,Internal_Test_Week,Assignment_Due,Holiday_Before_After,Weather,Special_Event
08-07-2026,Wednesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,38,18.63,12,1 Day,Theory,No,No,No,Sunny,No
08-07-2026,Wednesday,3,10.15 AM,11.15 AM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,37,18.14,14,3 Days,Theory,No,No,Before,Sunny,No
08-07-2026,Wednesday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,31,15.2,15,Same Day,Theory,No,No,No,Sunny,No
08-07-2026,Wednesday,5,1.30 PM,3.30 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,28,13.73,18,2 Days,Theory,No,Yes,No,Rainy,No
09-07-2026,Thursday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,58,28.43,27,Same Day,Theory,Yes,No,No,Cloudy,No
09-07-2026,Thursday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,58,28.43,28,Same Day,Theory,No,Yes,No,Sunny,No
09-07-2026,Thursday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,55,26.96,25,1 Day,Theory,No,No,No,Rainy,No
09-07-2026,Thursday,4,11.15 AM,12.15 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,52,25.49,22,3 Days,Theory,Yes,No,After,Cloudy,Yes
09-07-2026,Thursday,5,1.30 PM,3.30 PM,Industry Readiness Program,IRP,3,MCA,A&B,Computer Lab,204,50,24.51,29,2 Days,Practical,Yes,No,No,Sunny,No
10-07-2026,Friday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,80,39.22,28,3 Days,Theory,Yes,No,Before,Sunny,No
10-07-2026,Friday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,80,39.22,39,3 Days,Theory,No,No,No,Cloudy,Yes
10-07-2026,Friday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,75,36.76,27,7 Days,Theory,No,No,Before,Cloudy,No
10-07-2026,Friday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,73,35.78,24,Same Day,Theory,No,No,After,Sunny,No
10-07-2026,Friday,5,1.30 PM,3.30 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,70,34.31,25,2 Days,Theory,No,No,Before,Sunny,No
11-07-2026,Saturday,1,8.30 AM,9.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,33,16.18,14,2 Days,Practical,No,Yes,Before,Sunny,No
11-07-2026,Saturday,2,9.15 AM,10.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,27,13.24,16,2 Days,Practical,No,No,No,Sunny,No
11-07-2026,Saturday,4,11.15 AM,12.15 PM,Mini Project,SP,3,MCA,A&B,Computer Lab,204,26,12.75,19,2 Days,Practical,No,No,No,Cloudy,Yes
13-07-2026,Monday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,33,16.18,19,1 Day,Theory,No,Yes,Before,Sunny,No
13-07-2026,Monday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,25,12.25,16,2 Days,Theory,No,No,No,Sunny,Yes
13-07-2026,Monday,3,10.15 AM,11.15 AM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,22,10.78,14,Same Day,Theory,No,No,After,Sunny,No
13-07-2026,Monday,4,11.15 AM,12.15 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,23,11.27,11,Same Day,Theory,No,No,No,Sunny,No
13-07-2026,Monday,5,1.30 PM,3.30 PM,STQA Practical,DPY_AAB,3,MCA,A&B,Computer Lab,204,25,12.25,11,2 Days,Practical,No,No,No,Sunny,No
14-07-2026,Tuesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,33,16.18,12,Same Day,Theory,No,No,No,Rainy,Yes
14-07-2026,Tuesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,30,14.71,16,2 Days,Theory,No,Yes,No,Sunny,No
14-07-2026,Tuesday,3,10.15 AM,11.15 AM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,21,10.29,15,2 Days,Theory,No,Yes,No,Cloudy,No
14-07-2026,Tuesday,4,11.15 AM,12.15 PM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,28,13.73,13,Same Day,Theory,No,No,No,Sunny,No
14-07-2026,Tuesday,5,1.30 PM,3.30 PM,DS & ML Practical,MLK_SP,3,MCA,A&B,Computer Lab,204,31,15.2,13,2 Days,Practical,No,Yes,No,Cloudy,No
15-07-2026,Wednesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,21,10.29,15,3 Days,Theory,No,No,After,Sunny,No
15-07-2026,Wednesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,20,9.8,10,3 Days,Theory,Yes,No,After,Cloudy,No
15-07-2026,Wednesday,3,10.15 AM,11.15 AM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,20,9.8,18,2 Days,Theory,No,No,No,Sunny,No
15-07-2026,Wednesday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,22,10.78,10,7 Days,Theory,No,Yes,Before,Sunny,No
15-07-2026,Wednesday,5,1.30 PM,3.30 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,35,17.16,11,Same Day,Theory,Yes,Yes,No,Rainy,No
16-07-2026,Thursday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,23,11.27,10,Same Day,Theory,No,No,No,Cloudy,No
16-07-2026,Thursday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,30,14.71,11,1 Day,Theory,No,No,After,Sunny,No
16-07-2026,Thursday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,26,12.75,14,7 Days,Theory,No,Yes,No,Sunny,No
16-07-2026,Thursday,4,11.15 AM,12.15 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,23,11.27,10,3 Days,Theory,Yes,Yes,Before,Sunny,No
16-07-2026,Thursday,5,1.30 PM,3.30 PM,Industry Readiness Program,IRP,3,MCA,A&B,Computer Lab,204,36,17.65,32,Same Day,Practical,No,No,Before,Cloudy,No
17-07-2026,Friday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,38,18.63,15,7 Days,Theory,Yes,No,After,Sunny,No
17-07-2026,Friday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,21,10.29,19,1 Day,Theory,No,No,No,Sunny,Yes
17-07-2026,Friday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,38,18.63,13,1 Day,Theory,No,No,No,Cloudy,No
17-07-2026,Friday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,20,9.8,11,3 Days,Theory,No,No,No,Cloudy,No
17-07-2026,Friday,5,1.30 PM,3.30 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,23,11.27,11,2 Days,Practical,Yes,No,No,Sunny,No
18-07-2026,Saturday,1,8.30 AM,9.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,36,17.65,13,3 Days,Practical,No,No,No,Sunny,Yes
18-07-2026,Saturday,2,9.15 AM,10.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,22,10.78,18,7 Days,Practical,Yes,No,No,Sunny,No
18-07-2026,Saturday,4,11.15 AM,12.15 PM,Mini Project,SP,3,MCA,A&B,Computer Lab,204,26,12.75,13,3 Days,Practical,Yes,No,After,Rainy,No
20-07-2026,Monday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,34,16.67,10,2 Days,Theory,No,No,After,Cloudy,Yes
20-07-2026,Monday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,27,13.24,17,3 Days,Theory,No,No,After,Sunny,No
20-07-2026,Monday,3,10.15 AM,11.15 AM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,38,18.63,17,3 Days,Theory,Yes,Yes,No,Sunny,No
20-07-2026,Monday,4,11.15 AM,12.15 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,22,10.78,19,7 Days,Theory,No,No,No,Cloudy,No
20-07-2026,Monday,5,1.30 PM,3.30 PM,STQA Practical,DPY_AAB,3,MCA,A&B,Computer Lab,204,27,13.24,12,2 Days,Practical,No,No,No,Rainy,No
21-07-2026,Tuesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,37,18.14,13,1 Day,Theory,No,No,No,Cloudy,No
21-07-2026,Tuesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,32,15.69,18,Same Day,Theory,No,No,No,Sunny,Yes
21-07-2026,Tuesday,3,10.15 AM,11.15 AM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,39,19.12,10,2 Days,Theory,No,No,No,Rainy,Yes
21-07-2026,Tuesday,4,11.15 AM,12.15 PM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,27,13.24,19,Same Day,Theory,Yes,Yes,Before,Cloudy,Yes
21-07-2026,Tuesday,5,1.30 PM,3.30 PM,DS & ML Practical,MLK_SP,3,MCA,A&B,Computer Lab,204,31,15.2,15,2 Days,Practical,No,No,No,Sunny,Yes
22-07-2026,Wednesday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,31,15.2,16,2 Days,Theory,Yes,No,No,Sunny,No
22-07-2026,Wednesday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,37,18.14,15,3 Days,Theory,No,Yes,No,Sunny,Yes
22-07-2026,Wednesday,3,10.15 AM,11.15 AM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,29,14.22,11,3 Days,Theory,Yes,No,No,Sunny,No
22-07-2026,Wednesday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,22,10.78,19,7 Days,Theory,Yes,Yes,After,Sunny,No
22-07-2026,Wednesday,5,1.30 PM,3.30 PM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,38,18.63,11,3 Days,Theory,No,No,No,Cloudy,No
23-07-2026,Thursday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,28,13.73,18,1 Day,Theory,No,No,No,Sunny,No
23-07-2026,Thursday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,38,18.63,14,Same Day,Theory,No,No,Before,Cloudy,No
23-07-2026,Thursday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,24,11.76,13,1 Day,Theory,No,No,No,Sunny,Yes
23-07-2026,Thursday,4,11.15 AM,12.15 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,37,18.14,14,3 Days,Theory,No,No,Before,Sunny,No
23-07-2026,Thursday,5,1.30 PM,3.30 PM,Industry Readiness Program,IRP,3,MCA,A&B,Computer Lab,204,20,9.8,18,2 Days,Practical,Yes,Yes,No,Sunny,No
24-07-2026,Friday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,27,13.24,19,1 Day,Theory,No,No,No,Rainy,Yes
24-07-2026,Friday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,24,11.76,13,Same Day,Theory,No,No,No,Cloudy,No
24-07-2026,Friday,3,10.15 AM,11.15 AM,Data Science & Machine Learning,SP_MLK,3,MCA,A&B,Computer Lab,204,34,16.67,12,Same Day,Theory,Yes,No,No,Cloudy,No
24-07-2026,Friday,4,11.15 AM,12.15 PM,Principles of Cloud Management and Security,KSD_SDM,3,MCA,A&B,Computer Lab,204,39,19.12,11,2 Days,Theory,Yes,No,No,Sunny,No
24-07-2026,Friday,5,1.30 PM,3.30 PM,Software Testing and Quality Assurance,DPY_AAB,3,MCA,A&B,Computer Lab,204,29,14.22,18,1 Day,Practical,No,No,No,Sunny,No
25-07-2026,Saturday,1,8.30 AM,9.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,38,18.63,11,3 Days,Practical,Yes,No,No,Sunny,No
25-07-2026,Saturday,2,9.15 AM,10.15 AM,MAD Practical,SSP_ASP,3,MCA,A&B,Computer Lab,204,24,11.76,19,3 Days,Practical,No,Yes,No,Sunny,No
25-07-2026,Saturday,4,11.15 AM,12.15 PM,Mini Project,SP,3,MCA,A&B,Computer Lab,204,25,12.25,13,3 Days,Practical,Yes,No,Before,Sunny,No
27-07-2026,Monday,1,8.30 AM,9.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,45,22.06,39,1 Day,Theory,No,No,No,Sunny,No
27-07-2026,Monday,2,9.15 AM,10.15 AM,Mobile Application Development,SSP,3,MCA,A&B,Computer Lab,204,45,22.06,22,7 Days,Theory,No,No,After,Sunny,No
27-07-2026,Monday,3,10.15 AM,11.15 AM,Innovation and Entrepreneurship Development,JSP,3,MCA,A&B,Computer Lab,204,42,20.59,32,2 Days,Theory,No,Yes,After,Sunny,No
